lat,lng,name,property
32.35928,62.06561,فره,old
38.35806,38.35767,ملطين,old
37.9151,40.21323,آمد,old
34.33419,62.15235,هراة,old
39.99849,63.82036,رباط تاش,old
40.13581,63.16025,الرمل,old
33.08994,50.95356,مرج وزهر,old
35.38044,67.85287,مذر,old
34.84737,67.80206,الباميان,old
33.51843,36.30199,دمشق,old
28.84797,52.58324,جور,old
28.92193,53.63181,فسا,old
24.11893,39.2976,الروحاء,old
13.87387,44.72906,بدر,old
38.35806,38.35767,ملطين,old
38.61412,39.83119,شمشاط,old
37.34276,46.24758,مراغة,old
40.6711,62.59378,رباط جكربند,new
40.01949,62.51331,رباط جكربند,new
40.18541,62.82511,رباط طغان,old
40.50009,62.28269,رباط حسن,old
35.9054,65.15999,قصر الأمير,new
36.48128,64.61786,قصر الأمير,new
36.46025,64.93938,فارياب,old
35.9347,64.83857,اليهودية,old
31.39074,65.88026,رباط الحجرية,old
33.99489,-6.88943,رباط,old
38.89521,-6.32886,ماردة,old
36.67738,9.20563,باجة,old
36.20578,59.59168,المشهد,old
32.37576,20.84475,برقة,old
40.29826,47.51439,يونان,new
40.02435,47.18411,يونان,new
39.86701,47.46081,البيلقان,old
40.45334,47.23624,برذعة,old
35.26209,52.636,قرية الملح,old
28.14357,52.60355,برزرة,new
28.09271,52.15501,برزرة,new
28.41977,52.36569,كيرند,old
27.8168,52.39133,جم,old
35.9347,64.83857,اليهودية,old
41.88381,60.37258,غردمان,old
41.02958,70.53285,خاس,old
41.50228,60.94019,شراخان,old
29.81192,51.81229,قرية الحطب,new
29.40544,51.81343,قرية الحطب,new
29.60743,51.68412,كازرون,old
29.6096,51.94222,دشت ارزن,old
34.01251,36.19213,بعلبك,old
33.57083,35.71229,القرعون,old
24.95296,43.01192,طخفة,old
29.57226,34.94527,ويلة,old
29.61836,57.06721,كوغون,old
29.25713,53.20589,سروستان,old
43.19354,59.95269,قرية براتكين,old
31.4018,20.24835,سلوق,old
31.55774,53.84828,قرية الأسد,old
33.94151,44.9231,الدسكرة,old
33.43161,44.59405,النهروان,old
35.25767,46.01676,شهرزور,old
30.86496,29.30208,ذات الحمام,old
24.64352,46.73212,الحجر,old
32.18179,23.31692,جب الميدعان,old
32.77902,22.203,حليمان,old
31.05807,49.71372,الزط,old
30.93264,29.71572,بومينه,old
25.71785,38.58647,المروة,old
38.61412,39.83119,شمشاط,old
